CUST_CODE,SHOP_MONTH
CUST0000923296,200704
CUST0000147574,200704
CUST0000992085,200704
CUST0000997122,200704
CUST0000863429,200704
CUST0000925425,200704
CUST0000132570,200704
CUST0000420363,200704
CUST0000809769,200704
CUST0000275967,200704
CUST0000556927,200704
CUST0000644461,200704
CUST0000848359,200704
CUST0000053927,200704
CUST0000634688,200704
CUST0000036136,200704
CUST0000195321,200704
CUST0000476115,200704
CUST0000275779,200704
CUST0000339006,200704
CUST0000017325,200704
CUST0000537317,200704
CUST0000080416,200704
CUST0000673735,200704
CUST0000590105,200704
CUST0000602746,200704
CUST0000135397,200704
CUST0000970826,200704
CUST0000057304,200704
CUST0000751170,200704
CUST0000832547,200704
CUST0000309908,200704
CUST0000146080,200704
CUST0000312411,200704
CUST0000127841,200704
CUST0000618211,200704
CUST0000122195,200704
CUST0000687519,200704
CUST0000281062,200704
CUST0000572392,200704
CUST0000136384,200704
CUST0000914076,200704
CUST0000220295,200704
CUST0000177536,200704
CUST0000539672,200704
CUST0000176653,200704
CUST0000652732,200704
CUST0000450865,200704
CUST0000410727,200704
CUST0000986734,200704
CUST0000044880,200704
CUST0000404157,200704
CUST0000576800,200704
CUST0000694668,200704
CUST0000996878,200704
CUST0000280630,200704
CUST0000475903,200704
CUST0000881765,200704
CUST0000081986,200704
CUST0000550825,200704
CUST0000960984,200704
CUST0000590382,200704
CUST0000336781,200704
CUST0000644153,200704
CUST0000329537,200704
CUST0000916905,200704
CUST0000512455,200704
CUST0000200987,200704
CUST0000068970,200704
CUST0000731776,200704
CUST0000767243,200704
CUST0000413889,200704
CUST0000469241,200704
CUST0000996753,200704
CUST0000007860,200704
CUST0000762817,200704
CUST0000995115,200704
CUST0000105820,200704
CUST0000534768,200704
CUST0000906997,200704
CUST0000707553,200704
CUST0000361812,200704
CUST0000848108,200704
CUST0000052854,200704
CUST0000455145,200704
CUST0000622535,200704
CUST0000557293,200704
CUST0000812410,200704
CUST0000609540,200704
CUST0000312034,200704
CUST0000160842,200704
CUST0000527918,200704
CUST0000954808,200704
CUST0000554024,200704
CUST0000239714,200704
CUST0000337192,200704
CUST0000159136,200704
CUST0000817553,200704
CUST0000037123,200704
CUST0000550874,200704
CUST0000414514,200704
CUST0000470040,200704
CUST0000397211,200704
CUST0000647048,200704
CUST0000622502,200704
CUST0000379344,200704
CUST0000953749,200704
CUST0000710863,200704
CUST0000624342,200704
CUST0000301430,200704
CUST0000500238,200704
CUST0000615547,200704
CUST0000509226,200704
CUST0000916687,200704
CUST0000461850,200704
CUST0000999935,200704
CUST0000914464,200704
CUST0000782031,200704
CUST0000244114,200704
CUST0000466448,200704
CUST0000771768,200704
CUST0000141156,200704
CUST0000957158,200704
CUST0000872455,200704
CUST0000654988,200704
CUST0000400799,200704
CUST0000161319,200704
CUST0000361701,200704
CUST0000021218,200704
CUST0000826662,200704
CUST0000663598,200704
CUST0000549670,200704
CUST0000160721,200704
CUST0000099658,200704
CUST0000211159,200704
CUST0000352529,200704
CUST0000310991,200704
CUST0000587643,200704
CUST0000794328,200704
CUST0000472158,200704
CUST0000175060,200704
CUST0000501703,200704
CUST0000777781,200704
CUST0000393587,200704
CUST0000265774,200704
CUST0000996042,200704
CUST0000298310,200704
CUST0000591629,200704
CUST0000605493,200704
CUST0000711835,200704
CUST0000038546,200704
CUST0000381019,200704
CUST0000561266,200704
CUST0000551229,200704
CUST0000448280,200704
CUST0000063931,200704
CUST0000161411,200704
CUST0000092303,200704
CUST0000307164,200704
CUST0000904346,200704
CUST0000960829,200704
CUST0000133802,200704
CUST0000943845,200704
CUST0000236914,200704
CUST0000272467,200704
CUST0000543374,200704
CUST0000529848,200704
CUST0000386374,200704
CUST0000195121,200704
CUST0000837778,200704
CUST0000588881,200704
CUST0000666899,200704
CUST0000513743,200704
CUST0000200775,200704
CUST0000263501,200704
CUST0000046978,200704
CUST0000317126,200704
CUST0000418388,200704
CUST0000136043,200704
CUST0000869175,200704
CUST0000447587,200704
CUST0000896306,200704
CUST0000524537,200704
CUST0000779978,200704
CUST0000106314,200704
CUST0000579399,200704
CUST0000094339,200704
CUST0000993465,200704
CUST0000774171,200704
CUST0000701067,200704
CUST0000372188,200704
CUST0000326140,200704
CUST0000741649,200704
CUST0000966436,200704
CUST0000820750,200704
CUST0000541503,200704
CUST0000008415,200704
CUST0000176901,200704
CUST0000464070,200704
CUST0000811783,200704
CUST0000434013,200704
CUST0000711533,200704
CUST0000989319,200704
CUST0000548270,200704
CUST0000280945,200704
CUST0000355900,200704
CUST0000256627,200704
CUST0000236161,200704
CUST0000224172,200704
CUST0000758000,200704
CUST0000129097,200704
CUST0000985195,200704
CUST0000142044,200704
CUST0000696111,200704
CUST0000268823,200704
CUST0000006193,200704
CUST0000100205,200704
CUST0000556297,200704
CUST0000203216,200704
CUST0000706249,200704
CUST0000420119,200704
CUST0000440311,200704
CUST0000782803,200704
CUST0000100599,200704
CUST0000891571,200704
CUST0000952666,200704
CUST0000812846,200704
CUST0000633906,200704
CUST0000833210,200704
CUST0000486650,200704
CUST0000908339,200704
CUST0000838387,200704
CUST0000379060,200704
CUST0000916315,200704
CUST0000115145,200704
CUST0000347023,200704
CUST0000844640,200704
CUST0000395525,200704
CUST0000986278,200704
CUST0000729395,200704
CUST0000995305,200704
CUST0000987141,200704
CUST0000144580,200704
CUST0000738459,200704
CUST0000308778,200704
CUST0000984029,200704
CUST0000733271,200704
CUST0000235674,200704
CUST0000952913,200704
CUST0000389099,200704
CUST0000384178,200704
CUST0000903937,200704
CUST0000988001,200704
CUST0000963229,200704
CUST0000670922,200704
CUST0000917992,200704
CUST0000402925,200704
CUST0000203551,200704
CUST0000285720,200704
CUST0000241132,200704
CUST0000743903,200704
CUST0000322562,200704
CUST0000575612,200704
CUST0000035890,200704
CUST0000313042,200704
CUST0000075158,200704
CUST0000021161,200704
CUST0000836364,200704
CUST0000435195,200704
CUST0000937338,200704
CUST0000101102,200704
CUST0000094256,200704
CUST0000926650,200704
CUST0000053261,200704
CUST0000044707,200704
CUST0000335064,200704
CUST0000074259,200704
CUST0000710105,200704
CUST0000664742,200704
CUST0000537241,200704
CUST0000990465,200704
CUST0000744116,200704
CUST0000522783,200704
CUST0000404647,200704
CUST0000074994,200704
CUST0000105393,200704
CUST0000667919,200704
CUST0000633617,200704
CUST0000415649,200704
CUST0000899358,200704
CUST0000528711,200704
CUST0000421273,200704
CUST0000049077,200704
CUST0000430660,200704
CUST0000828268,200704
CUST0000561915,200704
CUST0000839174,200704
CUST0000778112,200704
CUST0000540040,200704
CUST0000412413,200704
CUST0000957189,200704
CUST0000068394,200704
CUST0000885717,200704
CUST0000624930,200704
CUST0000144953,200704
CUST0000939563,200704
CUST0000975870,200704
CUST0000978339,200704
CUST0000234306,200704
CUST0000381297,200704
CUST0000702030,200704
CUST0000268143,200704
CUST0000428504,200704
CUST0000485541,200704
CUST0000654538,200704
CUST0000190355,200704
CUST0000059479,200704
CUST0000057847,200704
CUST0000529484,200704
CUST0000465162,200704
CUST0000658030,200704
CUST0000917659,200704
CUST0000936813,200704
CUST0000584859,200704
CUST0000720862,200704
CUST0000554123,200704
CUST0000290660,200704
CUST0000603024,200704
CUST0000463900,200704
CUST0000333347,200704
CUST0000384595,200704
CUST0000048395,200704
CUST0000863326,200704
CUST0000520277,200704
CUST0000419761,200704
CUST0000940911,200704
CUST0000923911,200704
CUST0000115925,200704
CUST0000801239,200704
CUST0000368057,200704
CUST0000372422,200704
CUST0000292858,200704
CUST0000836210,200704
CUST0000303864,200704
CUST0000925937,200704
CUST0000899835,200704
CUST0000107193,200704
CUST0000568678,200704
CUST0000403694,200704
CUST0000554718,200704
CUST0000278486,200704
CUST0000563864,200704
CUST0000278836,200704
CUST0000978956,200704
CUST0000554021,200704
CUST0000885891,200704
CUST0000658460,200704
CUST0000890061,200704
CUST0000906450,200704
CUST0000206560,200704
CUST0000108776,200704
CUST0000864525,200704
CUST0000434489,200704
CUST0000229381,200704
CUST0000138092,200704
CUST0000942900,200704
CUST0000852304,200704
CUST0000915203,200704
CUST0000467543,200704
CUST0000575056,200704
CUST0000520865,200704
CUST0000185462,200704
CUST0000546643,200704
CUST0000738587,200704
CUST0000930673,200704
CUST0000605738,200704
CUST0000210836,200704
CUST0000404935,200704
CUST0000791897,200704
CUST0000245544,200704
CUST0000644893,200704
CUST0000190597,200704
CUST0000331019,200704
CUST0000098319,200704
CUST0000486918,200704
CUST0000325292,200704
CUST0000111873,200704
CUST0000706864,200704
CUST0000360978,200704
CUST0000280656,200704
CUST0000403088,200704
CUST0000868779,200704
CUST0000232683,200704
CUST0000688821,200704
CUST0000188187,200704
CUST0000016404,200704
CUST0000848249,200704
CUST0000796401,200704
CUST0000873425,200704
CUST0000086836,200704
CUST0000665351,200704
CUST0000565459,200704
CUST0000788454,200704
CUST0000287611,200704
CUST0000125691,200704
CUST0000503093,200704
CUST0000190750,200704
CUST0000352929,200704
CUST0000780008,200704
CUST0000657020,200704
CUST0000856007,200704
CUST0000451458,200704
CUST0000969829,200704
CUST0000461259,200704
CUST0000708150,200704
CUST0000007712,200704
CUST0000079699,200704
CUST0000160452,200704
CUST0000587601,200704
CUST0000188842,200704
CUST0000871730,200704
CUST0000426701,200704
CUST0000925831,200704
CUST0000774241,200704
CUST0000312377,200704
CUST0000661427,200704
CUST0000585617,200704
CUST0000613062,200704
CUST0000077225,200704
CUST0000706608,200704
CUST0000913303,200704
CUST0000828190,200704
CUST0000669614,200704
CUST0000542357,200704
CUST0000283533,200704
CUST0000692025,200704
CUST0000183115,200704
CUST0000115566,200704
CUST0000428851,200704
CUST0000564860,200704
CUST0000955923,200704
CUST0000682255,200704
CUST0000768680,200704
CUST0000147841,200704
CUST0000528973,200704
CUST0000947916,200704
CUST0000994038,200704
CUST0000297115,200704
CUST0000657952,200704
CUST0000111606,200704
CUST0000681996,200704
CUST0000751202,200704
CUST0000311311,200704
CUST0000032037,200704
CUST0000256745,200704
CUST0000662414,200704
CUST0000736244,200704
CUST0000436891,200704
CUST0000171503,200704
CUST0000140448,200704
CUST0000184646,200704
CUST0000649717,200704
CUST0000511022,200704
CUST0000012198,200704
CUST0000242095,200704
CUST0000117706,200704
CUST0000195880,200704
CUST0000999593,200704
CUST0000058269,200704
CUST0000182722,200704
CUST0000004088,200704
CUST0000029089,200704
CUST0000770451,200704
CUST0000837930,200704
CUST0000001194,200704
CUST0000462566,200704
CUST0000457813,200704
CUST0000903846,200704
CUST0000398965,200704
CUST0000800070,200704
CUST0000410483,200704
CUST0000002638,200704
CUST0000582787,200704
CUST0000392051,200704
CUST0000358306,200704
CUST0000124175,200704
CUST0000639364,200704
CUST0000440705,200704
CUST0000662370,200704
CUST0000997635,200704
CUST0000944007,200704
CUST0000093486,200704
CUST0000252383,200704
CUST0000167190,200704
CUST0000820340,200704
CUST0000109773,200704
CUST0000893334,200704
CUST0000249703,200704
CUST0000832236,200704
CUST0000961918,200704
CUST0000109875,200704
CUST0000246378,200704
CUST0000474039,200704
CUST0000506810,200704
