CUST_CODE,SHOP_MONTH,CUS_TYPE
CUST0000040844,200604,New_Customer
CUST0000040844,200605,Repeat_Customer
CUST0000040844,200607,Reactivate_Customer
CUST0000040844,200608,Repeat_Customer
CUST0000040844,200609,Repeat_Customer
CUST0000040844,200610,Repeat_Customer
CUST0000040844,200804,Reactivate_Customer
CUST0000040844,200806,Reactivate_Customer
CUST0000044880,200605,New_Customer
CUST0000044880,200609,Reactivate_Customer
CUST0000044880,200610,Repeat_Customer
CUST0000044880,200611,Repeat_Customer
CUST0000044880,200612,Repeat_Customer
CUST0000044880,200701,Repeat_Customer
CUST0000044880,200702,Repeat_Customer
CUST0000044880,200703,Repeat_Customer
CUST0000044880,200704,Repeat_Customer
CUST0000044880,200705,Repeat_Customer
CUST0000044880,200706,Repeat_Customer
CUST0000044880,200707,Repeat_Customer
CUST0000044880,200708,Repeat_Customer
CUST0000044880,200710,Reactivate_Customer
CUST0000044880,200712,Reactivate_Customer
CUST0000044880,200801,Repeat_Customer
CUST0000044880,200802,Repeat_Customer
CUST0000044880,200803,Repeat_Customer
CUST0000044880,200804,Repeat_Customer
CUST0000044880,200805,Repeat_Customer
CUST0000044880,200806,Repeat_Customer
CUST0000057847,200607,New_Customer
CUST0000057847,200610,Reactivate_Customer
CUST0000057847,200611,Repeat_Customer
CUST0000057847,200612,Repeat_Customer
CUST0000057847,200701,Repeat_Customer
CUST0000057847,200702,Repeat_Customer
CUST0000057847,200703,Repeat_Customer
CUST0000057847,200704,Repeat_Customer
CUST0000057847,200705,Repeat_Customer
CUST0000057847,200706,Repeat_Customer
CUST0000057847,200707,Repeat_Customer
CUST0000057847,200708,Repeat_Customer
CUST0000057847,200709,Repeat_Customer
CUST0000057847,200710,Repeat_Customer
CUST0000057847,200711,Repeat_Customer
CUST0000057847,200712,Repeat_Customer
CUST0000057847,200801,Repeat_Customer
CUST0000057847,200802,Repeat_Customer
CUST0000057847,200803,Repeat_Customer
CUST0000057847,200804,Repeat_Customer
CUST0000057847,200805,Repeat_Customer
CUST0000057847,200806,Repeat_Customer
CUST0000065253,200711,New_Customer
CUST0000065253,200802,Reactivate_Customer
CUST0000065253,200804,Reactivate_Customer
CUST0000109131,200604,New_Customer
CUST0000109131,200605,Repeat_Customer
CUST0000109131,200606,Repeat_Customer
CUST0000109131,200607,Repeat_Customer
CUST0000109131,200608,Repeat_Customer
CUST0000109131,200609,Repeat_Customer
CUST0000109131,200610,Repeat_Customer
CUST0000109131,200611,Repeat_Customer
CUST0000109131,200612,Repeat_Customer
CUST0000109131,200701,Repeat_Customer
CUST0000109131,200804,Reactivate_Customer
CUST0000109131,200806,Reactivate_Customer
CUST0000129057,200605,New_Customer
CUST0000129057,200607,Reactivate_Customer
CUST0000129057,200608,Repeat_Customer
CUST0000129057,200609,Repeat_Customer
CUST0000129057,200611,Reactivate_Customer
CUST0000129057,200701,Reactivate_Customer
CUST0000129057,200703,Reactivate_Customer
CUST0000129057,200705,Reactivate_Customer
CUST0000129057,200707,Reactivate_Customer
CUST0000129057,200710,Reactivate_Customer
CUST0000129057,200711,Repeat_Customer
CUST0000200987,200604,New_Customer
CUST0000200987,200605,Repeat_Customer
